Operation,Machine,Coach Variant,Start Time,End Time,Input,Output,Coach Variant Manufactured
Stage-VI Backpiece Leftover welding,SW0160,LWACCN (AC-3Tier),2022-05-09 09:15:00,2022-05-09 12:30:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,LWACCN (AC-3Tier),2022-05-09 09:20:00,2022-05-09 12:40:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,LWACCN (AC-3Tier),2022-05-09 09:35:00,2022-05-09 12:40:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,TRC (AC Track recording Car),2022-05-09 06:35:00,2022-05-09 13:10:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,TRC (AC Track recording Car),2022-05-09 06:45:00,2022-05-09 13:30:00,['Trough Sheets'],['Trough Sheets'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,TRC (AC Track recording Car),2022-05-09 10:10:00,2022-05-09 13:40:00,"['C', 'D']",['E'],0
Stage II Robotic Endwall Welding Station,EW0120,LWACCN (AC-3Tier),2022-05-09 10:15:00,2022-05-09 13:40:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage-I SW Skeleton Tack Welding,SW0110,LWACCN (AC-3Tier),2022-05-09 10:35:00,2022-05-09 13:40:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage III Manual Repair stand,EW0130,LWACCN (AC-3Tier),2022-05-09 13:40:00,2022-05-09 13:42:00,['Output LHB END Wall'],['End wall Complete'],0
Stage III Roof Robotic Welding Station,RF0130,TRC (AC Track recording Car),2022-05-09 10:35:00,2022-05-09 13:45:00,['C'],['C'],0
Stage I Machine- B&C machine,RF0110,LWACCN (AC-3Tier),2022-05-09 10:25:00,2022-05-09 14:00:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage II Manual JIG 9.2,RF0120,LWACCN (AC-3Tier),2022-05-09 10:35:00,2022-05-09 14:10:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,TRC (AC Track recording Car),2022-05-09 07:10:00,2022-05-09 14:20:00,['Supporting Members'],['Supporting Members'],0
Stage-II Robotic Spot Welding,SW0120,LWACCN (AC-3Tier),2022-05-09 10:55:00,2022-05-09 14:30:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,TRC (AC Track recording Car),2022-05-09 10:55:00,2022-05-09 14:30:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,TRC (AC Track recording Car),2022-05-09 14:30:00,2022-05-09 14:31:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0220,LWACCN (AC-3Tier),2022-05-09 12:00:00,2022-05-09 15:20:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,TRC (AC Track recording Car),2022-05-09 13:40:00,2022-05-09 16:00:00,['E'],['Roof Complete'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,TRC (AC Track recording Car),2022-05-09 10:46:00,2022-05-09 16:06:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,TRC (AC Track recording Car),2022-05-09 12:05:00,2022-05-09 16:45:00,['Underframe frame work'],['Underframe frame work'],0
Stage III Robotic Welding upside of Underframe,UF0310,TRC (AC Track recording Car),2022-05-09 12:05:00,2022-05-09 17:05:00,['Underframe frame work'],['Underframe frame work'],0
Stage II Robotic Endwall Welding Station,EW0120,LWACCN (AC-3Tier),2022-05-09 13:40:00,2022-05-09 17:05:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,LWACCN (AC-3Tier),2022-05-09 17:05:00,2022-05-09 17:07:00,['Output LHB END Wall'],['End wall Complete'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,TRC (AC Track recording Car),2022-05-09 13:45:00,2022-05-09 17:15:00,"['C', 'D']",['E'],0
Stage III Roof Robotic Welding Station,RF0130,LWACCN (AC-3Tier),2022-05-09 14:10:00,2022-05-09 17:15:00,['C'],['C'],0
Stage II Manual JIG 9.2,RF0120,LWACCN (AC-3Tier),2022-05-09 14:10:00,2022-05-09 17:45:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage-II Robotic Spot Welding,SW0120,LWACCN (AC-3Tier),2022-05-09 14:30:00,2022-05-09 18:05:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,LWACCN (AC-3Tier),2022-05-09 14:30:00,2022-05-09 18:05:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,LWACCN (AC-3Tier),2022-05-09 18:05:00,2022-05-09 18:06:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,TRC (AC Track recording Car),2022-05-09 17:15:00,2022-05-09 19:35:00,['E'],['Roof Complete'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,LWACCN (AC-3Tier),2022-05-09 13:10:00,2022-05-09 20:15:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,LWACCN (AC-3Tier),2022-05-09 13:30:00,2022-05-09 20:20:00,['Trough Sheets'],['Trough Sheets'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,LWACCN (AC-3Tier),2022-05-09 17:15:00,2022-05-09 20:45:00,"['C', 'D']",['E'],0
Stage III Roof Robotic Welding Station,RF0130,LWACCN (AC-3Tier),2022-05-09 17:45:00,2022-05-09 20:50:00,['C'],['C'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,LWACCN (AC-3Tier),2022-05-09 14:20:00,2022-05-09 21:10:00,['Supporting Members'],['Supporting Members'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,TRC (AC Track recording Car),2022-05-09 16:06:00,2022-05-09 21:26:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,LWACCN (AC-3Tier),2022-05-09 18:05:00,2022-05-09 21:40:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,LWACCN (AC-3Tier),2022-05-09 21:40:00,2022-05-09 21:41:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage III Robotic Welding upside of Underframe,UF0310,LWACCN (AC-3Tier),2022-05-09 17:05:00,2022-05-09 21:45:00,['Underframe frame work'],['Underframe frame work'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,TRC (AC Track recording Car),2022-05-09 17:05:00,2022-05-09 21:45:00,['Underframe frame work'],['Underframe frame work'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,TRC (AC Track recording Car),2022-05-09 16:45:00,2022-05-09 22:30:00,['Underframe frame work'],['Underframe frame work'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,LWACCN (AC-3Tier),2022-05-09 20:45:00,2022-05-09 23:05:00,['E'],['Roof Complete'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,LWACCN (AC-3Tier),2022-05-09 20:50:00,2022-05-10 00:20:00,"['C', 'D']",['E'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,LWACCN (AC-3Tier),2022-05-09 21:45:00,2022-05-10 01:50:00,['Underframe frame work'],['Underframe frame work'],0
Stage III Robotic Welding upside of Underframe,UF0310,LWACCN (AC-3Tier),2022-05-09 21:45:00,2022-05-10 02:25:00,['Underframe frame work'],['Underframe frame work'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,LWACCN (AC-3Tier),2022-05-10 00:20:00,2022-05-10 02:40:00,['E'],['Roof Complete'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,LWS (Antyodaya Coach),2022-05-10 00:20:00,2022-05-10 03:00:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,LWACCN (AC-3Tier),2022-05-09 20:20:00,2022-05-10 03:10:00,['Trough Sheets'],['Trough Sheets'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,LWACCN (AC-3Tier),2022-05-09 21:26:00,2022-05-10 03:11:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,LWACCN (AC-3Tier),2022-05-09 20:15:00,2022-05-10 03:20:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,LWS (Antyodaya Coach),2022-05-10 00:20:00,2022-05-10 03:20:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage-VI Backpiece Leftover welding,SW0160,LWS (Antyodaya Coach),2022-05-10 00:20:00,2022-05-10 03:25:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage-I SW Skeleton Tack Welding,SW0110,LWS (Antyodaya Coach),2022-05-10 00:20:00,2022-05-10 03:45:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,LWACCN (AC-3Tier),2022-05-09 21:10:00,2022-05-10 04:00:00,['Supporting Members'],['Supporting Members'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,TRC (AC Track recording Car),2022-05-09 22:30:00,2022-05-10 04:15:00,['Underframe frame work'],['Underframe frame work'],0
Stage I Machine- B&C machine,RF0110,LWS (Antyodaya Coach),2022-05-10 00:20:00,2022-05-10 04:15:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,TRC (AC Track recording Car),2022-05-09 22:30:00,2022-05-10 06:05:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,LWACCN (AC-3Tier),2022-05-10 02:25:00,2022-05-10 06:30:00,['Underframe frame work'],['Underframe frame work'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,LWS (Antyodaya Coach),2022-05-10 03:00:00,2022-05-10 06:45:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage II Robotic Endwall Welding Station,EW0120,LWS (Antyodaya Coach),2022-05-10 03:20:00,2022-05-10 06:50:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,LWS (Antyodaya Coach),2022-05-10 06:50:00,2022-05-10 06:52:00,['Output LHB END Wall'],['End wall Complete'],0
Stage-II Robotic Spot Welding,SW0120,LWS (Antyodaya Coach),2022-05-10 03:45:00,2022-05-10 07:25:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage II Manual JIG 9.2,RF0120,LWS (Antyodaya Coach),2022-05-10 04:15:00,2022-05-10 07:55:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,LWACCN (AC-3Tier),2022-05-10 03:11:00,2022-05-10 08:56:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,LWACCN (AC-3Tier),2022-05-10 04:15:00,2022-05-10 09:15:00,['Underframe frame work'],['Underframe frame work'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,LWS (Antyodaya Coach),2022-05-10 04:00:00,2022-05-10 10:00:00,['Supporting Members'],['Supporting Members'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,LWS (Antyodaya Coach),2022-05-10 03:20:00,2022-05-10 10:15:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,LWS (Antyodaya Coach),2022-05-10 03:10:00,2022-05-10 10:25:00,['Trough Sheets'],['Trough Sheets'],0
Stage VIII Robotic Corrugated sheet seam welding done,UF0620,TRC (AC Track recording Car),2022-05-10 06:05:00,2022-05-10 11:05:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,LWS (Antyodaya Coach),2022-05-10 07:25:00,2022-05-10 11:05:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,LWS (Antyodaya Coach),2022-05-10 11:05:00,2022-05-10 11:06:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage III Roof Robotic Welding Station,RF0130,LWS (Antyodaya Coach),2022-05-10 07:55:00,2022-05-10 11:25:00,['C'],['C'],0
Stage III Robotic Welding upside of Underframe,UF0310,LWS (Antyodaya Coach),2022-05-10 06:45:00,2022-05-10 11:40:00,['Underframe frame work'],['Underframe frame work'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,TRC (AC Track recording Car),2022-05-10 06:05:00,2022-05-10 13:40:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,LWACCN (AC-3Tier),2022-05-10 09:15:00,2022-05-10 14:15:00,['Underframe frame work'],['Underframe frame work'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,LWS (Antyodaya Coach),2022-05-10 11:25:00,2022-05-10 15:15:00,"['C', 'D']",['E'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,LWS (Antyodaya Coach),2022-05-10 11:06:00,2022-05-10 16:41:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,LWS (Antyodaya Coach),2022-05-10 11:40:00,2022-05-10 16:50:00,['Underframe frame work'],['Underframe frame work'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,LWS (Antyodaya Coach),2022-05-10 15:15:00,2022-05-10 17:20:00,['E'],['Roof Complete'],0
Stage IX Attending of leftover work and rectification of weld defects,UF0700,TRC (AC Track recording Car),2022-05-10 11:05:00,2022-05-10 17:55:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage VIII Robotic Corrugated sheet seam welding done,UF0620,TRC (AC Track recording Car),2022-05-10 13:40:00,2022-05-10 18:40:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage XII  Final Inspection and attending of leftover work,UF0900,TRC (AC Track recording Car),2022-05-10 17:55:00,2022-05-10 20:20:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,LWACCN (AC-3Tier),2022-05-10 13:40:00,2022-05-10 20:40:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,LWS (Antyodaya Coach),2022-05-10 16:50:00,2022-05-10 22:50:00,['Underframe frame work'],['Underframe frame work'],0
Stage VIII Robotic Corrugated sheet seam welding done,UF0620,LWACCN (AC-3Tier),2022-05-10 20:40:00,2022-05-11 01:20:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage IX Attending of leftover work and rectification of weld defects,UF0700,TRC (AC Track recording Car),2022-05-10 18:40:00,2022-05-11 01:30:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,LWACCN (AC-3Tier),2022-05-10 20:40:00,2022-05-11 03:40:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],0
