Operation,Machine,Coach Variant,Start Time,End Time,Input,Output,Coach Variant Manufactured
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,LWSCZAC (2nd Class AC Chair Car),2022-04-23 03:35:00,2022-04-23 07:10:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,LWSCZAC (2nd Class AC Chair Car),2022-04-23 00:00:00,2022-04-23 07:15:00,['Trough Sheets'],['Trough Sheets'],0
Stage II Robotic Endwall Welding Station,EW0120,LWSCZAC (2nd Class AC Chair Car),2022-04-23 03:35:00,2022-04-23 07:25:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 07:25:00,2022-04-23 07:27:00,['Output LHB END Wall'],['End wall Complete'],0
Stage II Manual JIG 9.2,RF0120,LWSCZAC (2nd Class AC Chair Car),2022-04-23 04:00:00,2022-04-23 07:30:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage I Machine- B&C machine,RF0110,LWSCZAC (2nd Class AC Chair Car),2022-04-23 04:00:00,2022-04-23 08:00:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage-I SW Skeleton Tack Welding,SW0110,LWSCZAC (2nd Class AC Chair Car),2022-04-23 06:00:00,2022-04-23 09:00:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,LWSCZAC (2nd Class AC Chair Car),2022-04-23 06:40:00,2022-04-23 10:00:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,LWSCZAC (2nd Class AC Chair Car),2022-04-23 06:40:00,2022-04-23 10:00:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0220,LWSCZAC (2nd Class AC Chair Car),2022-04-23 06:40:00,2022-04-23 10:05:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 06:45:00,2022-04-23 10:15:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,LWSCZAC (2nd Class AC Chair Car),2022-04-23 10:15:00,2022-04-23 10:16:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage-II Robotic Spot Welding,SW0120,LWSCZAC (2nd Class AC Chair Car),2022-04-23 06:45:00,2022-04-23 10:30:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,LWSCZAC (2nd Class AC Chair Car),2022-04-23 07:10:00,2022-04-23 10:45:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage III Roof Robotic Welding Station,RF0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 07:30:00,2022-04-23 11:00:00,['C'],['C'],0
Stage III Robotic Welding upside of Underframe,UF0310,LWSCZAC (2nd Class AC Chair Car),2022-04-23 06:45:00,2022-04-23 11:10:00,['Underframe frame work'],['Underframe frame work'],0
Stage II Robotic Endwall Welding Station,EW0120,LWSCZAC (2nd Class AC Chair Car),2022-04-23 07:25:00,2022-04-23 11:15:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 11:15:00,2022-04-23 11:17:00,['Output LHB END Wall'],['End wall Complete'],0
Stage II Manual JIG 9.2,RF0120,LWSCZAC (2nd Class AC Chair Car),2022-04-23 08:00:00,2022-04-23 11:30:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,LWSCZAC (2nd Class AC Chair Car),2022-04-23 06:00:00,2022-04-23 12:00:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
Stage I Machine- B&C machine,RF0110,LWSCZAC (2nd Class AC Chair Car),2022-04-23 08:00:00,2022-04-23 12:00:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage-I SW Skeleton Tack Welding,SW0110,LWSCZAC (2nd Class AC Chair Car),2022-04-23 09:00:00,2022-04-23 12:00:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,LWSCZAC (2nd Class AC Chair Car),2022-04-23 06:20:00,2022-04-23 12:40:00,['Supporting Members'],['Supporting Members'],0
Stage-VI Backpiece Leftover welding,SW0160,LWSCZAC (2nd Class AC Chair Car),2022-04-23 10:00:00,2022-04-23 13:20:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,LWSCZAC (2nd Class AC Chair Car),2022-04-23 10:00:00,2022-04-23 13:20:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,LWSCZAC (2nd Class AC Chair Car),2022-04-23 10:00:00,2022-04-23 13:25:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 10:30:00,2022-04-23 14:00:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,LWSCZAC (2nd Class AC Chair Car),2022-04-23 14:00:00,2022-04-23 14:01:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage-II Robotic Spot Welding,SW0120,LWSCZAC (2nd Class AC Chair Car),2022-04-23 10:30:00,2022-04-23 14:15:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,LWSCZAC (2nd Class AC Chair Car),2022-04-23 10:45:00,2022-04-23 14:20:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,LWSCZAC (2nd Class AC Chair Car),2022-04-23 07:15:00,2022-04-23 14:30:00,['Trough Sheets'],['Trough Sheets'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,LWSCZAC (2nd Class AC Chair Car),2022-04-23 11:00:00,2022-04-23 14:45:00,"['C', 'D']",['E'],0
Stage III Roof Robotic Welding Station,RF0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 11:30:00,2022-04-23 15:00:00,['C'],['C'],0
Stage-I SW Skeleton Tack Welding,SW0110,LWSCZAC (2nd Class AC Chair Car),2022-04-23 12:00:00,2022-04-23 15:00:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage II Robotic Endwall Welding Station,EW0120,LWSCZAC (2nd Class AC Chair Car),2022-04-23 11:15:00,2022-04-23 15:05:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 15:05:00,2022-04-23 15:07:00,['Output LHB END Wall'],['End wall Complete'],0
Stage II Manual JIG 9.2,RF0120,LWSCZAC (2nd Class AC Chair Car),2022-04-23 12:00:00,2022-04-23 15:30:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage III Robotic Welding upside of Underframe,UF0310,LWSCZAC (2nd Class AC Chair Car),2022-04-23 11:10:00,2022-04-23 15:35:00,['Underframe frame work'],['Underframe frame work'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,LWSCZAC (2nd Class AC Chair Car),2022-04-23 11:10:00,2022-04-23 16:00:00,['Underframe frame work'],['Underframe frame work'],0
Stage I Machine- B&C machine,RF0110,LWSCZAC (2nd Class AC Chair Car),2022-04-23 12:00:00,2022-04-23 16:00:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,LWSCZAC (2nd Class AC Chair Car),2022-04-23 10:16:00,2022-04-23 16:16:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage-VI Backpiece Leftover welding,SW0160,LWSCZAC (2nd Class AC Chair Car),2022-04-23 13:20:00,2022-04-23 16:40:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,LWSCZAC (2nd Class AC Chair Car),2022-04-23 13:20:00,2022-04-23 16:40:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0220,LWSCZAC (2nd Class AC Chair Car),2022-04-23 13:20:00,2022-04-23 16:45:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,LWSCZAC (2nd Class AC Chair Car),2022-04-23 14:45:00,2022-04-23 16:50:00,['E'],['Roof Complete'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 14:15:00,2022-04-23 17:45:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,LWSCZAC (2nd Class AC Chair Car),2022-04-23 17:45:00,2022-04-23 17:46:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,LWSCZAC (2nd Class AC Chair Car),2022-04-23 14:20:00,2022-04-23 17:55:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,LWSCZAC (2nd Class AC Chair Car),2022-04-23 12:00:00,2022-04-23 18:00:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
Stage-II Robotic Spot Welding,SW0120,LWSCZAC (2nd Class AC Chair Car),2022-04-23 14:15:00,2022-04-23 18:00:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,LWSCZAC (2nd Class AC Chair Car),2022-04-23 15:00:00,2022-04-23 18:45:00,"['C', 'D']",['E'],0
Stage II Robotic Endwall Welding Station,EW0120,LWSCZAC (2nd Class AC Chair Car),2022-04-23 15:05:00,2022-04-23 18:55:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 18:55:00,2022-04-23 18:57:00,['Output LHB END Wall'],['End wall Complete'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,LWSCZAC (2nd Class AC Chair Car),2022-04-23 12:40:00,2022-04-23 19:00:00,['Supporting Members'],['Supporting Members'],0
Stage III Roof Robotic Welding Station,RF0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 15:30:00,2022-04-23 19:00:00,['C'],['C'],0
Stage II Manual JIG 9.2,RF0120,LWSCZAC (2nd Class AC Chair Car),2022-04-23 16:00:00,2022-04-23 19:30:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage III Robotic Welding upside of Underframe,UF0310,LWSCZAC (2nd Class AC Chair Car),2022-04-23 15:35:00,2022-04-23 20:00:00,['Underframe frame work'],['Underframe frame work'],0
Stage I Machine- B&C machine,RF0110,LWSCZAC (2nd Class AC Chair Car),2022-04-23 16:00:00,2022-04-23 20:00:00,['Roof sheeting complete'],['Roof sheeting complete'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,LWSCZAC (2nd Class AC Chair Car),2022-04-23 16:40:00,2022-04-23 20:05:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,LWSCZAC (2nd Class AC Chair Car),2022-04-23 16:00:00,2022-04-23 20:50:00,['Underframe frame work'],['Underframe frame work'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,LWSCZAC (2nd Class AC Chair Car),2022-04-23 18:45:00,2022-04-23 20:50:00,['E'],['Roof Complete'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 18:00:00,2022-04-23 21:30:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,LWSCZAC (2nd Class AC Chair Car),2022-04-23 21:30:00,2022-04-23 21:31:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,LWSCZAC (2nd Class AC Chair Car),2022-04-23 14:30:00,2022-04-23 21:45:00,['Trough Sheets'],['Trough Sheets'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,LWSCZAC (2nd Class AC Chair Car),2022-04-23 16:00:00,2022-04-23 21:45:00,['Underframe frame work'],['Underframe frame work'],0
Stage-II Robotic Spot Welding,SW0120,LWSCZAC (2nd Class AC Chair Car),2022-04-23 18:00:00,2022-04-23 21:45:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,LWSCZAC (2nd Class AC Chair Car),2022-04-23 16:16:00,2022-04-23 22:16:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage II Robotic Endwall Welding Station,EW0120,LWSCZAC (2nd Class AC Chair Car),2022-04-23 18:55:00,2022-04-23 22:45:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,LWSCZAC (2nd Class AC Chair Car),2022-04-23 19:00:00,2022-04-23 22:45:00,"['C', 'D']",['E'],0
Stage III Manual Repair stand,EW0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 22:45:00,2022-04-23 22:47:00,['Output LHB END Wall'],['End wall Complete'],0
Stage III Roof Robotic Welding Station,RF0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 19:30:00,2022-04-23 23:00:00,['C'],['C'],0
Stage II Manual JIG 9.2,RF0120,LWSCZAC (2nd Class AC Chair Car),2022-04-23 20:00:00,2022-04-23 23:30:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,LWSCZAC (2nd Class AC Chair Car),2022-04-23 18:00:00,2022-04-24 00:00:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
Stage III Robotic Welding upside of Underframe,UF0310,LWSCZAC (2nd Class AC Chair Car),2022-04-23 20:00:00,2022-04-24 00:25:00,['Underframe frame work'],['Underframe frame work'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,LWSCZAC (2nd Class AC Chair Car),2022-04-23 22:45:00,2022-04-24 00:50:00,['E'],['Roof Complete'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 21:45:00,2022-04-24 01:15:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,LWSCZAC (2nd Class AC Chair Car),2022-04-24 01:15:00,2022-04-24 01:16:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,LWSCZAC (2nd Class AC Chair Car),2022-04-23 19:00:00,2022-04-24 01:20:00,['Supporting Members'],['Supporting Members'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,LWSCZAC (2nd Class AC Chair Car),2022-04-23 20:50:00,2022-04-24 01:40:00,['Underframe frame work'],['Underframe frame work'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 00:00:00,2022-04-24 02:25:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,LWSCZAC (2nd Class AC Chair Car),2022-04-23 23:00:00,2022-04-24 02:45:00,"['C', 'D']",['E'],0
Stage III Roof Robotic Welding Station,RF0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 23:30:00,2022-04-24 03:00:00,['C'],['C'],0
Stage-VI Backpiece Leftover welding,SW0160,LWFCZAC (Executive Class AC Chair Car),2022-04-24 00:00:00,2022-04-24 03:00:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 00:00:00,2022-04-24 03:05:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage-I SW Skeleton Tack Welding,SW0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 00:00:00,2022-04-24 03:10:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,LWSCZAC (2nd Class AC Chair Car),2022-04-23 21:45:00,2022-04-24 03:30:00,['Underframe frame work'],['Underframe frame work'],0
Stage I Machine- B&C machine,RF0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 00:00:00,2022-04-24 04:00:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,LWSCZAC (2nd Class AC Chair Car),2022-04-23 22:16:00,2022-04-24 04:16:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage III Robotic Welding upside of Underframe,UF0310,LWSCZAC (2nd Class AC Chair Car),2022-04-24 00:25:00,2022-04-24 04:50:00,['Underframe frame work'],['Underframe frame work'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 02:25:00,2022-04-24 04:50:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,LWSCZAC (2nd Class AC Chair Car),2022-04-24 02:45:00,2022-04-24 04:50:00,['E'],['Roof Complete'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,LWSCZAC (2nd Class AC Chair Car),2022-04-23 21:45:00,2022-04-24 05:00:00,['Trough Sheets'],['Trough Sheets'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,LWSCZAC (2nd Class AC Chair Car),2022-04-23 21:45:00,2022-04-24 05:40:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],0
