Operation,Machine,Coach Variant,Start Time,End Time,Input,Output,Coach Variant Manufactured
Stage III Roof Robotic Welding Station,RF0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 07:30:00,2022-04-23 11:00:00,['C'],['C'],0
Stage III Robotic Welding upside of Underframe,UF0310,LWSCZAC (2nd Class AC Chair Car),2022-04-23 06:45:00,2022-04-23 11:10:00,['Underframe frame work'],['Underframe frame work'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,LWSCZAC (2nd Class AC Chair Car),2022-04-23 11:00:00,2022-04-23 14:45:00,"['C', 'D']",['E'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,LWSCZAC (2nd Class AC Chair Car),2022-04-23 11:10:00,2022-04-23 16:00:00,['Underframe frame work'],['Underframe frame work'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,LWSCZAC (2nd Class AC Chair Car),2022-04-23 10:16:00,2022-04-23 16:16:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,LWSCZAC (2nd Class AC Chair Car),2022-04-23 14:45:00,2022-04-23 16:50:00,['E'],['Roof Complete'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,LWSCZAC (2nd Class AC Chair Car),2022-04-23 16:00:00,2022-04-23 21:45:00,['Underframe frame work'],['Underframe frame work'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,LWSCZAC (2nd Class AC Chair Car),2022-04-23 21:45:00,2022-04-24 05:40:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,LWFCZAC (Executive Class AC Chair Car),2022-04-25 05:40:00,2022-04-25 08:05:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage-VI Backpiece Leftover welding,SW0160,LWFCZAC (Executive Class AC Chair Car),2022-04-25 05:40:00,2022-04-25 08:40:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,LWFCZAC (Executive Class AC Chair Car),2022-04-25 05:40:00,2022-04-25 08:45:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage-I SW Skeleton Tack Welding,SW0110,LWFCZAC (Executive Class AC Chair Car),2022-04-25 05:40:00,2022-04-25 08:50:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage I Machine- B&C machine,RF0110,LWFCZAC (Executive Class AC Chair Car),2022-04-25 05:40:00,2022-04-25 09:40:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage VIII Robotic Corrugated sheet seam welding done,UF0620,LWSCZAC (2nd Class AC Chair Car),2022-04-25 05:40:00,2022-04-25 10:20:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,LWFCZAC (Executive Class AC Chair Car),2022-04-25 05:40:00,2022-04-25 11:40:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,LWFCZAC (Executive Class AC Chair Car),2022-04-25 08:05:00,2022-04-25 12:10:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,LWFCZAC (Executive Class AC Chair Car),2022-04-25 05:40:00,2022-04-25 12:15:00,['Supporting Members'],['Supporting Members'],0
Stage-II Robotic Spot Welding,SW0120,LWFCZAC (Executive Class AC Chair Car),2022-04-25 08:50:00,2022-04-25 12:25:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage II Robotic Endwall Welding Station,EW0120,LWFCZAC (Executive Class AC Chair Car),2022-04-25 08:45:00,2022-04-25 12:35:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,LWFCZAC (Executive Class AC Chair Car),2022-04-25 12:35:00,2022-04-25 12:37:00,['Output LHB END Wall'],['End wall Complete'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,LWFCZAC (Executive Class AC Chair Car),2022-04-25 05:40:00,2022-04-25 12:55:00,['Trough Sheets'],['Trough Sheets'],0
Stage II Manual JIG 9.2,RF0120,LWFCZAC (Executive Class AC Chair Car),2022-04-25 09:40:00,2022-04-25 13:25:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,LWFCZAC (Executive Class AC Chair Car),2022-04-25 12:25:00,2022-04-25 16:10:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,LWFCZAC (Executive Class AC Chair Car),2022-04-25 16:10:00,2022-04-25 16:11:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage III Robotic Welding upside of Underframe,UF0310,LWFCZAC (Executive Class AC Chair Car),2022-04-25 12:10:00,2022-04-25 16:20:00,['Underframe frame work'],['Underframe frame work'],0
Stage III Roof Robotic Welding Station,RF0130,LWFCZAC (Executive Class AC Chair Car),2022-04-25 13:25:00,2022-04-25 16:30:00,['C'],['C'],0
Stage IX Attending of leftover work and rectification of weld defects,UF0700,LWSCZAC (2nd Class AC Chair Car),2022-04-25 10:20:00,2022-04-25 17:25:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage XII  Final Inspection and attending of leftover work,UF0900,LWSCZAC (2nd Class AC Chair Car),2022-04-25 17:25:00,2022-04-25 19:55:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,LWFCZAC (Executive Class AC Chair Car),2022-04-25 16:30:00,2022-04-25 20:00:00,"['C', 'D']",['E'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,LWFCZAC (Executive Class AC Chair Car),2022-04-25 16:20:00,2022-04-25 21:25:00,['Underframe frame work'],['Underframe frame work'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,LWFCZAC (Executive Class AC Chair Car),2022-04-25 16:11:00,2022-04-25 21:36:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,LWFCZAC (Executive Class AC Chair Car),2022-04-25 20:00:00,2022-04-25 22:05:00,['E'],['Roof Complete'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,LWFCZAC (Executive Class AC Chair Car),2022-04-25 21:25:00,2022-04-26 02:25:00,['Underframe frame work'],['Underframe frame work'],0
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0110,LWSCZAC (2nd Class AC Chair Car),2022-04-25 19:55:00,2022-04-26 03:30:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],0
Stage-II Final Repair & Leakage testing,SH0200,LWSCZAC (2nd Class AC Chair Car),2022-04-25 03:30:00,2022-04-25 05:55:00,['Shell Assembly'],['Coach'],1
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,LWFCZAC (Executive Class AC Chair Car),2022-04-25 02:25:00,2022-04-25 10:20:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],0
Stage VIII Robotic Corrugated sheet seam welding done,UF0620,LWFCZAC (Executive Class AC Chair Car),2022-04-25 10:20:00,2022-04-25 15:00:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage IX Attending of leftover work and rectification of weld defects,UF0700,LWFCZAC (Executive Class AC Chair Car),2022-04-25 15:00:00,2022-04-25 21:50:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage XII  Final Inspection and attending of leftover work,UF0900,LWFCZAC (Executive Class AC Chair Car),2022-04-25 21:50:00,2022-04-25 23:55:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],0
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0110,LWFCZAC (Executive Class AC Chair Car),2022-04-25 23:55:00,2022-04-26 07:30:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],0
Stage-II Final Repair & Leakage testing,SH0200,LWFCZAC (Executive Class AC Chair Car),2022-04-26 07:30:00,2022-04-26 09:55:00,['Shell Assembly'],['Coach'],1
